"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(Plant_protein_score)",0.935694346372337,0.0267757825833887,-2.4823330055285,0.0130525231843713,0.887855762875817,0.986110522048403
"scale(age)",3.05881947762762,0.0326145431610278,34.280076970036,1.55476669739634e-257,2.86940795184323,3.26073418410367
"scale(BMI)",1.11716730450278,0.0283279398677535,3.91120178896582,9.18380008923158e-05,1.05683072475655,1.18094862026036
"scale(PA)",0.911445376033331,0.0329793893832227,-2.81156249247089,0.00493015125814268,0.854394686621261,0.972305524016899
"scale(eGFR)",0.999213542919299,0.0293121061813126,-0.0268410088120337,0.978586544687452,0.943425914804186,1.05830006223707
"factor(sex)2",1.46933270052069,0.0525580556237597,7.32158653769413,2.45056210738214e-13,1.32550889365147,1.62876205143523
"factor(race)2",0.797413517358388,0.0929156597706747,-2.43642345053557,0.0148333086718277,0.664650966090064,0.95669509277402
"factor(race)3",1.1173089234549,0.0680169409104268,1.63081499518265,0.10292936240383,0.977861037625947,1.27664277683337
"factor(race)4",0.930536548845023,0.0684868390922716,-1.05120817239725,0.293162990556079,0.813649444996685,1.06421539897927
"scale(energy)",1.07623507118444,0.0266753139293635,2.75419084915324,0.005883744720033,1.02141227292328,1.13400040233741
